
*Vertices 25
1 "톈안먼" 0.0 0.0 0.0  x_fact 5.886104 y_fact 5.886104
2 "공산당" 0.0 0.0 0.0  x_fact 5.023881 y_fact 5.023881
3 "홍콩" 0.0 0.0 0.0  x_fact 5.198497 y_fact 5.198497
4 "1989년" 0.0 0.0 0.0  x_fact 4.510860 y_fact 4.510860
5 "사태" 0.0 0.0 0.0  x_fact 5.075174 y_fact 5.075174
6 "미국" 0.0 0.0 0.0  x_fact 5.081404 y_fact 5.081404
7 "문화" 0.0 0.0 0.0  x_fact 4.787492 y_fact 4.787492
8 "시진핑" 0.0 0.0 0.0  x_fact 4.465908 y_fact 4.465908
9 "정치" 0.0 0.0 0.0  x_fact 5.049856 y_fact 5.049856
10 "자오쯔양" 0.0 0.0 0.0  x_fact 4.189655 y_fact 4.189655
11 "세계" 0.0 0.0 0.0  x_fact 4.828314 y_fact 4.828314
12 "민주화" 0.0 0.0 0.0  x_fact 4.477337 y_fact 4.477337
13 "시위" 0.0 0.0 0.0  x_fact 5.010635 y_fact 5.010635
14 "장쩌민" 0.0 0.0 0.0  x_fact 3.931826 y_fact 3.931826
15 "반체제" 0.0 0.0 0.0  x_fact 4.007333 y_fact 4.007333
16 "후진타오" 0.0 0.0 0.0  x_fact 3.761200 y_fact 3.761200
17 "광장" 0.0 0.0 0.0  x_fact 4.962845 y_fact 4.962845
18 "교수" 0.0 0.0 0.0  x_fact 4.234107 y_fact 4.234107
19 "한국" 0.0 0.0 0.0  x_fact 4.615121 y_fact 4.615121
20 "후야오방" 0.0 0.0 0.0  x_fact 3.526361 y_fact 3.526361
21 "올림픽" 0.0 0.0 0.0  x_fact 4.262680 y_fact 4.262680
22 "류샤오보" 0.0 0.0 0.0  x_fact 3.761200 y_fact 3.761200
23 "마오쩌둥" 0.0 0.0 0.0  x_fact 3.806662 y_fact 3.806662
24 "70주년" 0.0 0.0 0.0  x_fact 3.526361 y_fact 3.526361
25 "덩샤오핑" 0.0 0.0 0.0  x_fact 3.688879 y_fact 3.688879
*Matrix 
0.000000 0.140103 0.131401 0.439463 0.547261 0.112428 0.048804 0.023937 0.062872 0.123886 0.110439 0.351998 0.234168 0.119286 0.115992 0.046603 0.385516 0.069618 0.027610 0.122510 0.068345 0.026972 0.112345 0.102295 0.080797 
0.140103 0.000000 0.024371 0.145260 0.181444 0.017022 0.027709 0.133189 0.149925 0.375429 0.010973 0.053936 0.033842 0.227560 0.038416 0.138913 0.027858 0.013834 0.016460 0.239022 0.017155 0.014293 0.053580 0.010164 0.091747 
0.131401 0.024371 0.000000 0.074174 0.160357 0.071708 0.012734 0.087442 0.072728 0.014142 0.075643 0.196231 0.414741 0.011620 0.070619 0.000000 0.051819 0.031789 0.033619 0.013561 0.004380 0.027369 0.000000 0.046710 0.035136 
0.439463 0.145260 0.074174 0.000000 0.460195 0.097139 0.084335 0.000000 0.098866 0.140488 0.025048 0.307794 0.122314 0.150061 0.046768 0.028186 0.060562 0.105263 0.050096 0.188605 0.000000 0.032626 0.000000 0.000000 0.055847 
0.547261 0.181444 0.160357 0.460195 0.000000 0.126314 0.051051 0.006492 0.061381 0.182683 0.050541 0.158715 0.207833 0.163041 0.094368 0.056873 0.061100 0.099119 0.044925 0.172159 0.005853 0.021944 0.018280 0.000000 0.103297 
0.112428 0.017022 0.071708 0.097139 0.126314 0.000000 0.041507 0.035627 0.060823 0.000000 0.097595 0.088367 0.095051 0.049710 0.071931 0.008670 0.011177 0.148946 0.087322 0.000000 0.000000 0.053525 0.016721 0.009516 0.008589 
0.048804 0.027709 0.012734 0.084335 0.051051 0.041507 0.000000 0.007733 0.060930 0.000000 0.147165 0.032880 0.020631 0.000000 0.009368 0.000000 0.082485 0.109635 0.080272 0.032380 0.013944 0.017426 0.119763 0.012392 0.055930 
0.023937 0.133189 0.087442 0.000000 0.006492 0.035627 0.007733 0.000000 0.104596 0.017175 0.045933 0.009407 0.035416 0.031752 0.021441 0.077531 0.011106 0.067561 0.022966 0.037057 0.000000 0.000000 0.024920 0.099273 0.064008 
0.062872 0.149925 0.072728 0.098866 0.061381 0.060823 0.060930 0.104596 0.000000 0.020300 0.054290 0.066712 0.037208 0.058378 0.050684 0.101818 0.043755 0.053235 0.102547 0.068132 0.050298 0.000000 0.058909 0.044699 0.030261 
0.123886 0.375429 0.014142 0.140488 0.182683 0.000000 0.000000 0.017175 0.020300 0.000000 0.000000 0.045644 0.011456 0.010271 0.000000 0.012539 0.021554 0.000000 0.000000 0.095893 0.000000 0.000000 0.000000 0.000000 0.149071 
