중국	0	594	748	403	138	261	183	155	97	177	188	103	112	164	70	59	64	161	94	49	131	75	68
국제	594	0	415	152	15	91	107	132	44	85	76	11	40	46	38	46	15	49	34	30	80	6	22
베이징	748	415	0	285	81	78	72	181	37	69	56	24	33	70	27	88	28	60	41	33	68	32	22
톈안먼	403	152	285	0	35	49	60	48	101	187	42	14	6	20	32	31	5	32	83	42	88	21	25
오피니언	138	15	81	35	0	12	12	9	5	8	14	9	13	7	1	12	5	11	5	5	16	2	4
공산당	261	91	78	49	12	0	7	29	21	39	4	5	21	30	61	7	7	2	8	11	8	6	30
홍콩	183	107	72	60	12	7	0	14	14	45	22	3	18	19	3	7	6	18	38	10	128	12	2
오관철	155	132	181	48	9	29	14	0	16	24	13	3	19	14	9	0	1	12	10	7	4	6	10
1989년	97	44	37	101	5	21	14	16	0	65	15	10	0	13	15	2	14	3	30	20	19	12	13
사태	177	85	69	187	8	39	45	24	65	0	29	9	1	12	29	7	33	9	23	30	48	9	21
미국	188	76	56	42	14	4	22	13	15	29	0	8	6	13	0	3	12	19	14	7	24	6	7
문화	103	11	24	14	9	5	3	3	10	9	8	0	1	10	0	1	15	22	4	1	4	3	0
시진핑	112	40	33	6	13	21	18	19	0	1	6	1	0	15	2	0	1	6	1	3	6	2	3
정치	164	46	70	20	7	30	19	14	13	12	13	10	15	0	3	10	11	9	9	6	8	2	7
자오쯔양	70	38	27	32	1	61	3	9	15	29	0	0	2	3	0	0	3	0	5	14	2	0	1
조운찬	59	46	88	31	12	7	7	0	2	7	3	1	0	10	0	0	0	2	4	2	8	5	0
천안문	64	15	28	5	5	7	6	1	14	33	12	15	1	11	3	0	0	1	3	6	9	7	3
세계	161	49	60	32	11	2	18	12	3	9	19	22	6	9	0	2	1	0	4	1	12	5	1
민주화	94	34	41	83	5	8	38	10	30	23	14	4	1	9	5	4	3	4	0	10	51	9	4
당시	49	30	33	42	5	11	10	7	20	30	7	1	3	6	14	2	6	1	10	0	21	6	5
시위	131	80	68	88	16	8	128	4	19	48	24	4	6	8	2	8	9	12	51	21	0	9	1
인물	75	6	32	21	2	6	12	6	12	9	6	3	2	2	0	5	7	5	9	6	9	0	4
장쩌민	68	22	22	25	4	30	2	10	13	21	7	0	3	7	1	0	3	1	4	5	1	4	0
