톈안먼	0	49	60	101	187	42	14	6	20	32	32	83	88	25	24	8	154	16	8	22	19	6	20	16	14
공산당	49	0	7	21	39	4	5	21	30	61	2	8	8	30	5	15	7	2	3	27	3	2	6	1	10
홍콩	60	7	0	14	45	22	3	18	19	3	18	38	128	2	12	0	17	6	8	2	1	5	0	6	5
1989년	101	21	14	0	65	15	10	0	13	15	3	30	19	13	4	2	10	10	6	14	0	3	0	0	4
사태	187	39	45	65	0	29	9	1	12	29	9	23	48	21	12	6	15	14	8	19	1	3	2	0	11
미국	42	4	22	15	29	0	8	6	13	0	19	14	24	7	10	1	3	23	17	0	0	8	2	1	1
문화	14	5	3	10	9	8	0	1	10	0	22	4	4	0	1	0	17	13	12	3	2	2	11	1	5
시진핑	6	21	18	0	1	6	1	0	15	2	6	1	6	3	2	6	2	7	3	3	0	0	2	7	5
정치	20	30	19	13	12	13	10	15	0	3	9	9	8	7	6	10	10	7	17	7	8	0	6	4	3
자오쯔양	32	61	3	15	29	0	0	2	3	0	0	5	2	1	0	1	4	0	0	8	0	0	0	0	12
세계	32	2	18	3	9	19	22	6	9	0	0	4	12	1	4	2	18	3	3	0	19	6	2	15	0
민주화	83	8	38	30	23	14	4	1	9	5	4	0	51	4	11	0	14	13	12	3	1	7	0	0	3
시위	88	8	128	19	48	24	4	6	8	2	12	51	0	1	9	0	26	6	6	0	0	2	0	4	4
장쩌민	25	30	2	13	21	7	0	3	7	1	1	4	1	0	0	13	1	8	2	0	1	0	2	2	4
반체제	24	5	12	4	12	10	1	2	6	0	4	11	9	0	0	2	2	4	4	0	0	21	0	0	0
후진타오	8	15	0	2	6	1	0	6	10	1	2	0	0	13	2	0	0	0	2	9	1	0	1	1	2
광장	154	7	17	10	15	3	17	2	10	4	18	14	26	1	2	0	0	8	9	0	13	1	7	13	1
교수	16	2	6	10	14	23	13	7	7	0	3	13	6	8	4	0	8	0	22	0	1	0	4	0	2
한국	8	3	8	6	8	17	12	3	17	0	3	12	6	2	4	2	9	22	0	0	2	2	2	1	3
후야오방	22	27	2	14	19	0	3	3	7	8	0	3	0	0	0	9	0	0	0	0	0	0	4	0	5
올림픽	19	3	1	0	1	0	2	0	8	0	19	1	0	1	0	1	13	1	2	0	0	0	0	0	0
류샤오보	6	2	5	3	3	8	2	0	0	0	6	7	2	0	21	0	1	0	2	0	0	0	0	0	0
마오쩌둥	20	6	0	0	2	2	11	2	6	0	2	0	0	2	0	1	7	4	2	4	0	0	0	0	5
70주년	16	1	6	0	0	1	1	7	4	0	15	0	4	2	0	1	13	0	1	0	0	0	0	0	0
덩샤오핑	14	10	5	4	11	1	5	5	3	12	0	3	4	4	0	2	1	2	3	5	0	0	5	0	0
