톈안먼	0	188	9	55	0	70	13	25	27	9	34	94	5	84	3	12	48	3	90	0	75	10	4
天安門	188	0	8	55	0	61	10	27	29	8	27	80	3	69	6	16	43	10	73	0	71	12	3
천안문	9	8	0	12	0	33	14	9	27	22	62	140	10	46	6	2	20	20	118	81	70	13	1
北京	55	55	12	0	0	10	18	25	9	9	11	19	3	23	5	10	17	25	54	2	14	14	0
연재	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1989년	70	61	33	10	0	0	8	24	19	0	16	56	2	39	3	9	31	0	13	6	107	4	3
정치	13	10	14	18	0	8	0	21	4	10	14	20	5	7	3	1	8	4	5	9	13	7	1
공산당	25	27	9	25	0	24	21	0	6	11	21	19	1	11	15	40	8	3	11	2	30	10	2
미국	27	29	27	9	0	19	4	6	0	5	19	49	1	14	18	3	13	3	10	9	34	10	5
시진핑	9	8	22	9	0	0	10	11	5	0	6	0	0	2	2	0	0	0	5	0	0	4	0
홍콩	34	27	62	11	0	16	14	21	19	6	0	53	3	62	7	5	13	0	15	16	25	8	2
사태	94	80	140	19	0	56	20	19	49	0	53	0	6	41	7	10	23	0	7	83	99	9	2
문화	5	3	10	3	0	2	5	1	1	0	3	6	0	0	0	0	0	2	1	2	2	4	0
시위	84	69	46	23	0	39	7	11	14	2	62	41	0	0	3	8	56	15	41	6	55	6	2
장쩌민	3	6	6	5	0	3	3	15	18	2	7	7	0	3	0	3	1	0	5	0	7	1	0
자오쯔양	12	16	2	10	0	9	1	40	3	0	5	10	0	8	3	0	4	0	4	0	13	0	0
민주화	48	43	20	17	0	31	8	8	13	0	13	23	0	56	1	4	0	1	18	0	46	4	14
올림픽	3	10	20	25	0	0	4	3	3	0	0	0	2	15	0	0	1	0	18	0	0	37	0
광장	90	73	118	54	0	13	5	11	10	5	15	7	1	41	5	4	18	18	0	1	22	16	0
천안문사태	0	0	81	2	0	6	9	2	9	0	16	83	2	6	0	0	0	0	1	0	27	0	0
89년	75	71	70	14	0	107	13	30	34	0	25	99	2	55	7	13	46	0	22	27	0	4	3
세계	10	12	13	14	1	4	7	10	10	4	8	9	4	6	1	0	4	37	16	0	4	0	2
류샤오보	4	3	1	0	0	3	1	2	5	0	2	2	0	2	0	0	14	0	0	0	3	2	0
