천안문	0	3682	944	544	3311	2009	295	1510	533	337	600	868	450	464	424	329	1118	1365	367	225	341	528	377
국제	3682	0	753	411	2226	1460	334	926	477	127	260	660	724	312	311	332	671	845	205	81	156	405	260
베이징	944	753	0	138	309	226	220	91	199	56	80	104	228	87	52	131	78	451	131	38	81	76	49
1989년	544	411	138	0	366	431	115	120	62	51	80	96	147	60	38	89	27	86	33	21	44	71	67
사태	3311	2226	309	366	0	1339	200	1142	349	158	310	551	231	320	275	170	624	465	125	123	202	321	255
89년	2009	1460	226	431	1339	0	126	597	255	100	191	307	157	204	177	112	348	340	100	60	110	242	187
天安門	295	334	220	115	200	126	0	31	149	41	27	78	133	40	23	68	12	130	40	14	37	50	33
천안문사태	1510	926	91	120	1142	597	31	0	71	51	122	262	44	144	122	35	348	192	57	68	73	120	121
톈안먼	533	477	199	62	349	255	149	71	0	37	33	92	76	59	57	54	38	182	72	12	37	105	42
오피니언	337	127	56	51	158	100	41	51	37	0	27	48	23	28	27	29	30	109	18	11	22	25	16
문화	600	260	80	80	310	191	27	122	33	27	0	54	34	37	37	32	111	128	35	19	62	68	28
홍콩	868	660	104	96	551	307	78	262	92	48	54	0	70	81	75	47	175	166	50	15	35	109	91
국제일반	450	724	228	147	231	157	133	44	76	23	34	70	0	36	27	117	22	155	27	7	16	48	27
당시	464	312	87	60	320	204	40	144	59	28	37	81	36	0	27	22	67	76	17	15	28	46	44
대한	424	311	52	38	275	177	23	122	57	27	37	75	27	27	0	17	78	74	13	20	30	51	39
中	329	332	131	89	170	112	68	35	54	29	32	47	117	22	17	0	18	87	23	18	23	36	20
북경	1118	671	78	27	624	348	12	348	38	30	111	175	22	67	78	18	0	244	66	50	55	110	91
광장	1365	845	451	86	465	340	130	192	182	109	128	166	155	76	74	87	244	0	224	53	72	99	80
광장에서	367	205	131	33	125	100	40	57	72	18	35	50	27	17	13	23	66	224	0	16	23	31	27
조선비즈	225	81	38	21	123	60	14	68	12	11	19	15	7	15	20	18	50	53	16	0	15	9	17
사회	341	156	81	44	202	110	37	73	37	22	62	35	16	28	30	23	55	72	23	15	0	43	17
민주화	528	405	76	71	321	242	50	120	105	25	68	109	48	46	51	36	110	99	31	9	43	0	47
6월	377	260	49	67	255	187	33	121	42	16	28	91	27	44	39	20	91	80	27	17	17	47	0
